city,state,restaurant_count_x,avg_rating,total_reviews,avg_review_per_restaurant,norm_demand,norm_competition,norm_rating,opportunity_score,sentiment,stars,restaurant_count_y,opportunity_with_sentiment,norm_sentiment,opportunity_with_sentiment_v2,confidence,weighted_sentiment,opportunity_with_sentiment_v3,opportunity_with_sentiment_v4
New Port Richey,FL,166,3.4819277108433733,8299,49.99397590361447,0.0144177254641641,0.0334005182839044,0.5669196811784857,-0.1161952289887864,0.48959644608119146,3.4899407202254555,226,0.4580905155443106,0.5630261472130476,0.4654334856574962,0.1294444817029759,0.07288062781121635,0.4164189337173131,0.438003064570052
Lutz,FL,134,3.529850746268657,10035,74.88805970149252,0.0179310847294349,0.0241865822055859,0.6147629218729761,-0.1212430166715535,0.5030528029409829,3.5739434862999797,178,0.4731743238987917,0.6197316170440119,0.4848422053090946,0.14234078186759122,0.08821308291811128,0.4316903518965045,0.4547521786933657
Port Richey,FL,77,3.357142857142856,4433,57.57142857142858,0.0065936200957673,0.0077742585660811,0.442342601750189,-0.0875039878719785,0.47685133881797204,3.374151778675154,106,0.4364588247003176,0.5093179033742985,0.43970548115595026,0.0946061837796456,0.04818462316889266,0.3935921531354097,0.41456926699202373
Plant City,FL,92,3.2989130434782608,3951,42.94565217391305,0.0056181367052947,0.0120932911027929,0.3842097442208693,-0.0776608678223644,0.4410876115449294,3.376535578479783,111,0.41956997734994683,0.3586085413192408,0.411322070327378,0.08931495288664576,0.032029104972676754,0.3786641266927216,0.3936725500966807
Saint Petersburg,FL,300,3.6633333333333327,39370,131.23333333333332,0.0772999753093415,0.0719838756118629,0.7480232524172573,-0.1325498255123395,0.526010144376258,3.622658984504482,491,0.5115304923612549,0.716474505607487,0.5305769284843779,0.28193783860678606,0.20200127352784053,0.4791296052764132,0.4986182019694706
Seminole,FL,85,3.5352941176470587,5049,59.39999999999999,0.0078402959640892,0.0100777425856608,0.6201972297112684,-0.1231426207359073,0.5031018185373395,3.4985781833445917,120,0.47446242340592504,0.6199381701586038,0.48614605856805143,0.1009655798938537,0.06259241684839797,0.4304114832370309,0.45554116485832574
St. Petersburg,FL,253,3.756916996047431,27800,109.88142292490116,0.0538843262890749,0.0584509069968327,0.841451092715128,-0.1588833274975379,0.5547889691888663,3.655482126059482,404,0.5277875738784924,0.8377492903940189,0.5560836059990076,0.2369152717468599,0.19847560078943802,0.49215623703854955,0.5168903577937605
Clearwater Beach,FL,54,3.768518518518519,15892,294.29629629629613,0.0297846246008006,0.0011517420097898,0.8530332979548646,-0.1560598698935095,0.5390030773286054,3.599746594733376,77,0.5360752945612167,0.7712270939359522,0.5592976962219514,0.17912653985779325,0.13814724078132842,0.495989710906489,0.5222255727551939
Palm Harbor,FL,129,3.6899224806201536,10638,82.46511627906979,0.0191514508797564,0.0227469046933486,0.774568127177704,-0.1521619714036671,0.5487152932798817,3.674547607744135,207,0.510621663707427,0.8121546476828769,0.5369655991477265,0.1465550039901438,0.11902532763177785,0.46765266714261655,0.4973154393075704
Meridian,ID,236,3.4216101694915246,21052,89.20338983050848,0.0402275588224579,0.053556003455226,0.506702572153838,-0.0972935360561064,0.4883372553996044,3.440387448909404,312,0.4501984624631434,0.5577198819326188,0.4571367251164448,0.20616613976118364,0.11498295512611112,0.41286303243579403,0.43126210896093675
Eagle,ID,63,3.6111111111111103,5118,81.23809523809523,0.007979939851937,0.0037431615318168,0.6958879833299237,-0.1363105751995613,0.5522845070134031,3.5433781860485265,92,0.4964750748485548,0.8271954156853394,0.5239661657157484,0.10165314026950129,0.08408701162095022,0.4496553253093095,0.4830053919240783
Boise,ID,603,3.5970149253731334,55551,92.12437810945276,0.1100474789218682,0.1592283328534408,0.6818152685873918,-0.1291078141125764,0.5267363396574393,3.5844325694185764,849,0.48528717939593735,0.7195347131389516,0.5045670167440885,0.334901119489271,0.24097298094162634,0.45671084352435604,0.47409265503323444
